city,type,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
All Areas,Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,39,42,30,5,5,25,19,19,13,13,1,2,21,17,5,10,18,5,3,26,18,3,9,10,0,0,13,13,10,9,6,1,1,6,6,14,9,12,2,0,10,11,7,10,10,49,41,47,20,13,5,7,0,2,25,30,25,18,18,6,1,41,24,24,16,33,1,1,0,19,31,44,64,13,1,31,22,20,16,21,7,0,17,23,31,14,55,3,0,70,31,51,40,36,6,1,38,38,48,42,43,12,8,44,32,24,24,28,5,0,34,50,62,68,76,32,8,146,129,90,101,68,15,2,51,72,77,50,62,16,4,83,53,71,56,46,14,3,65,58,46,57,41,11,1,27,54,45,38,31,3,1,48,67,48,53,39,5,6,58,60,55,40,38,5,1,49
All Areas,Income Support/Assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,1,2,2,1,1,1,0,3,0,1,1,0,4,2,5,1,0,0,2,1,2,0,1,0,0,1,0,4,2,1,1,0,2,2,2,1,0,0,0,1,3,1,1,0,0,2,5,0,1,2,0,0,0,2,0,4,2,3,2,0,2,1,1,1,1,1,0,0,1,1,2,3,0,0,3,2,1,1,0,1,1,0,3,1,0,0,0,0,0,0,1,2,2,4,0,1,2,3,1,2,3,0,1,0,1,0,1,0,0,2,0,0,1,2,1,3,0,1,3,4,0,0,0,1,1,0,1,3,3,0,3,1,1,1,0,1,3,2,0,0,2,2,1,0,1,0,1,0,2,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0
All Areas,"Individual, Family and Community Support",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,7,10,6,3,1,13,7,22,16,13,3,3,19,24,86,48,33,4,0,39,25,23,44,37,2,0,27,33,38,40,28,7,13,63,21,20,18,36,2,1,35,33,22,21,71,7,12,37,81,32,25,28,4,0,16,18,24,22,25,1,1,23,26,19,13,31,3,3,0,31,19,26,35,10,11,112,41,17,10,14,1,0,22,10,12,12,21,18,0,19,13,40,22,22,1,0,41,26,32,19,18,0,0,27,27,114,35,15,2,0,53,18,33,33,27,1,0,15,35,20,21,28,0,0,10,13,21,30,11,1,1,34,22,8,14,12,0,0,23,25,34,23,16,0,0,1,26,22,15,17,0,0,26,20,21,18,16,1,23,12,8,13,10,26,1,0,19
All Areas,Information Services,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,3,2,7,7,7,6,1,3,5,13,7,4,8,4,20,10,13,8,10,6,0,7,14,9,12,10,2,2,9,11,9,13,11,2,0,16,9,7,13,6,1,2,14,7,9,9,5,0,0,13,8,10,4,4,0,0,9,2,7,3,3,0,0,2,6,1,10,5,3,0,0,6,4,12,9,1,0,16,10,5,5,4,3,0,5,4,1,7,2,2,0,4,5,10,9,3,1,1,8,4,3,9,4,1,0,7,6,9,3,1,0,0,3,6,4,0,3,0,0,1,10,1,2,3,1,0,4,1,4,1,2,4,0,3,1,6,2,4,0,0,5,8,13,18,13,13,0,0,10,6,5,3,2,0,10,7,2,0,0,4,1,3,2,7,5,1,0,1,6
All Areas,"Legal, Consumer, and Public Safety Services",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,1,1,1,0,4,3,4,1,2,1,2,0,3,1,1,1,3,2,4,0,3,2,6,2,1,1,2,2,1,4,0,4,1,1,1,0,2,2,1,0,3,4,2,0,0,5,1,0,0,0,2,2,2,2,1,0,0,2,3,4,0,4,1,0,0,1,2,2,0,1,0,4,1,0,0,2,0,0,1,0,2,1,3,0,0,1,6,3,1,5,0,0,9,3,4,3,4,1,0,3,3,5,1,0,0,0,3,5,0,1,4,0,0,5,4,2,4,1,0,0,1,4,2,1,1,0,0,0,0,0,0,0,2,0,4,3,1,1,1,0,0,0,1,2,0,1,0,0,3,2,3,0,1,1,1,1,1,1,0,1,0,0,3
All Areas,Mental Health/Addictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,3,1,1,3,0,0,0,0,0,0,2,0,0,4,2,0,1,0,0,0,1,1,2,0,0,0,0,1,0,1,0,1,0,0,3,0,2,0,1,1,2,1,1,3,2,1,0,0,2,0,2,2,3,0,0,2,1,2,0,0,1,0,0,0,0,2,2,1,1,0,3,2,2,1,2,0,1,3,2,1,2,0,0,0,2,0,0,1,1,0,2,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,0,1,1,0,0,2,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
All Areas,Other Government/Economic Services,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,1,3,0,2,0,2,2,5,3,2,4,3,1,4,4,7,1,1,1,5,5,4,3,7,3,2,4,0,12,7,7,3,9,3,3,4,6,8,9,8,3,2,14,15,10,8,7,1,0,12,11,9,5,4,3,0,4,5,6,6,6,3,0,1,8,8,14,6,4,0,5,4,3,0,2,6,1,2,2,7,3,6,2,0,6,2,4,0,2,0,0,7,3,4,0,3,2,0,0,3,2,1,0,0,1,3,2,1,3,3,0,0,0,0,1,2,0,0,0,2,0,1,2,2,0,0,0,0,1,2,1,0,0,1,2,1,0,1,1,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
All Areas,Other/Unknown,3,16,6,4,12,10,14,6,6,5,6,20,45,85,70,75,40,50,77,58,4,53,90,52,90,63,57,30,105,97,59,88,115,100,56,69,86,92,71,69,43,6,11,38,53,47,39,39,16,23,40,32,59,28,35,22,33,73,46,35,51,76,58,71,235,172,142,120,151,32,16,150,130,148,150,153,41,38,194,141,100,113,66,46,34,29,100,121,210,229,38,32,220,197,247,73,79,47,55,125,78,62,67,81,36,35,62,73,37,38,47,27,15,62,60,53,39,55,20,18,68,45,42,66,40,34,8,82,72,76,32,68,92,40,82,65,67,54,60,77,27,49,54,45,76,49,57,42,35,42,38,41,57,69,63,32,54,33,64,50,100,35,49,71,50,33,55,46,32,23,22,36,42,43,67,17,35,28,47,49,42,22,18,43
All Areas,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,3,1,1,2,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Areas,Utility Assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,45,55,45,3,2,34,27,14,12,22,2,5,19,23,9,6,16,1,0,19,15,11,13,10,0,0,15,8,12,7,3,2,0,9,10,9,9,11,3,1,6,9,9,1,6,4,14,7,11,3,11,8,0,0,4,5,3,7,3,2,2,8,8,8,2,5,1,0,0,8,7,5,7,7,3,10,6,5,6,2,1,0,7,1,1,12,8,0,0,4,3,3,7,7,0,0,8,12,12,5,5,0,1,6,6,4,3,3,0,0,6,7,5,1,5,2,0,3,12,9,1,8,3,0,8,3,4,4,6,0,2,4,2,1,4,1,1,0,3,1,2,3,3,2,0,0,3,4,2,4,0,0,6,7,2,1,1,0,4,9,0,5,2,3,0,0,0
All Areas,Volunteers/Donations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Barrington,All Categories,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1,0,0,2,0,0,1,0,1,4,2,1,0,2,2,3,0,1,1,2,1,0,2,2,1,0,0,2,2,5,2,0,2,5,3,1,2,1,0,0,0,1,0,3,4,0,0,2
Barrington,COVID-19 Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrington,COVID-19 Diagnostic Tests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrington,Disaster Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,4,0,0,0,1,1,0,1,0,0,0,0,0,0,2,2,0,0,0
Barrington,Employment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrington,Food/Meals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrington,Health Care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrington,Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1
